Heure_Depart,Vitesse_Moyenne,Distance,Temps_Estimé
4.5,1.0,10.0,10.0
4.551020408163265,1.0816326530612246,10.204081632653061,9.877551020408163
4.6020408163265305,1.163265306122449,10.408163265306122,9.755102040816327
4.653061224489796,1.2448979591836735,10.612244897959183,9.63265306122449
4.704081632653061,1.3265306122448979,10.816326530612244,9.510204081632653
4.755102040816326,1.4081632653061225,11.020408163265307,9.387755102040817
4.8061224489795915,1.489795918367347,11.224489795918368,9.26530612244898
4.857142857142857,1.5714285714285714,11.428571428571429,9.142857142857142
4.908163265306122,1.6530612244897958,11.63265306122449,9.020408163265307
4.959183673469388,1.7346938775510203,11.83673469387755,8.89795918367347
5.010204081632653,1.816326530612245,12.040816326530612,8.775510204081632
5.061224489795919,1.8979591836734693,12.244897959183675,8.653061224489797
5.112244897959184,1.9795918367346939,12.448979591836736,8.53061224489796
5.163265306122449,2.061224489795918,12.653061224489797,8.408163265306122
5.214285714285714,2.142857142857143,12.857142857142858,8.285714285714286
5.26530612244898,2.224489795918367,13.061224489795919,8.16326530612245
5.316326530612245,2.3061224489795915,13.26530612244898,8.040816326530612
5.36734693877551,2.387755102040816,13.46938775510204,7.918367346938775
5.418367346938775,2.4693877551020407,13.673469387755102,7.795918367346939
5.469387755102041,2.5510204081632653,13.877551020408163,7.673469387755102
5.520408163265306,2.63265306122449,14.081632653061224,7.551020408163265
5.571428571428571,2.7142857142857144,14.285714285714285,7.428571428571429
5.622448979591837,2.7959183673469385,14.489795918367347,7.3061224489795915
5.673469387755102,2.877551020408163,14.693877551020408,7.183673469387755
5.724489795918368,2.9591836734693877,14.89795918367347,7.061224489795919
5.775510204081632,3.0408163265306123,15.10204081632653,6.938775510204081
5.826530612244898,3.1224489795918364,15.306122448979592,6.816326530612245
5.877551020408164,3.204081632653061,15.510204081632654,6.6938775510204085
5.928571428571429,3.2857142857142856,15.714285714285715,6.571428571428571
5.979591836734694,3.36734693877551,15.918367346938776,6.448979591836735
6.030612244897959,3.4489795918367343,16.122448979591837,6.326530612244898
6.081632653061225,3.530612244897959,16.3265306122449,6.204081632653061
6.13265306122449,3.6122448979591835,16.53061224489796,6.081632653061225
6.183673469387755,3.693877551020408,16.73469387755102,5.959183673469388
6.23469387755102,3.7755102040816326,16.93877551020408,5.836734693877551
6.285714285714286,3.8571428571428568,17.142857142857142,5.714285714285714
6.336734693877551,3.9387755102040813,17.346938775510203,5.591836734693878
6.387755102040816,4.020408163265306,17.551020408163264,5.469387755102041
